Feature;All;;;Sony;;;;Nexus;;;
;Min;Median;Min/Med;Min;Median;Min Sony / Min all;Med. Sony / med. All;Min;Median;Min Nexus / Min all;Med. Nexus / med. all
Mean;0,018023215;0,793452591;2%;0,017108584;0,051974121;95%;7%;0,023747328;0,028534108;132%;4%
Std. Dev.;0,000141881;0,020262843;1%;0,000214262;0,000846489;151%;4%;0,000978524;0,001952511;690%;10%
Avg. Dev.;0,000297212;0,01629484;2%;0,001351127;0,001717874;455%;11%;0,000795081;0,001797323;268%;11%
Skewness;0,023668822;0,600543006;4%;0,284609627;0,425858039;1202%;71%;0,035569425;0,163415023;150%;27%
Kurtosis;0,052085039;3,067646052;2%;1,00476613;1,998829128;1929%;65%;0,14252306;0,197275355;274%;6%
RMS;0,019360811;0,392580415;5%;0,017102009;0,051926351;88%;13%;0,018280451;0,027531948;94%;7%
Min;0,028763914;0,890068886;3%;0,022420515;0,044722743;78%;5%;0,026719599;0,036100115;93%;4%
Max;0,036569761;0,919978426;4%;0,014439274;0,054073146;39%;6%;0,011901855;0,030297178;33%;3%
